trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2021,Export,300,710813,11.228,kg,11.228,642672.894
2021,Export,348,710813,0.137,kg,0.137,7719.252
2021,Export,360,710813,0.279,kg,0.279,15722.985
2021,Export,372,710813,2.466,kg,2.466,138934.507
2021,Export,376,710813,115.089,kg,115.089,6621889.806
2021,Export,380,710813,16251.094,kg,16251.094,736670117.816
2021,Export,392,710813,26.82,kg,26.82,1763777.501
2021,Export,410,710813,13.671,kg,13.671,423626.662
2021,Export,440,710813,15.034,kg,15.034,855008.684
2021,Export,442,710813,13.795,kg,13.795,625356.822
2021,Export,470,710813,0.334,kg,0.334,18821.627
2021,Export,496,710813,0.041,kg,0.041,2303.193
2021,Export,528,710813,2.056,kg,2.056,107513.703
2021,Export,579,710813,0.02,kg,0.02,1147.767
2021,Export,604,710813,0.032,kg,0.032,1775.811
2021,Export,608,710813,2.047,kg,2.047,5409.495
2021,Export,616,710813,1080.79,kg,1080.79,63220847.665
2021,Export,642,710813,20.138,kg,20.138,1216941.505
2021,Export,643,710813,0.002,kg,0.002,131.298
2021,Export,703,710813,7.105,kg,7.105,443044.603
2021,Export,724,710813,61.349,kg,61.349,2942495.851
2021,Export,752,710813,4.407,kg,4.407,73956.018
2021,Export,764,710813,0.01,kg,0.01,559.112
2021,Export,784,710813,7770.214,kg,7770.214,453875060.76
2021,Export,826,710813,2333.247,kg,2333.247,123641089.294
2022,Import,40,710811,4.129,kg,4.129,111832.145
2022,Import,251,710811,6.852,kg,6.852,352249.319
2022,Import,276,710811,11.024,kg,11.024,130499.285
2022,Import,376,710811,0.435,kg,0.435,18396.965
2022,Import,380,710811,2.676,kg,2.676,120059.886
2022,Import,392,710811,3.622,kg,3.622,57929.288
2022,Import,528,710811,6.02,kg,6.02,4100.781
2022,Import,826,710811,0.039,kg,0.039,1652.46
2022,Import,842,710811,0.042,kg,0.042,1781.264
2022,Import,40,710812,414.016,kg,414.016,17371408.934
2022,Import,203,710812,42.304,kg,42.304,1742959.583
2022,Import,276,710812,39932.003,kg,39932.003,1720386465.542
2022,Import,762,710812,5703.32,kg,5703.32,338617795.706
2022,Import,36,710813,2.105,kg,2.105,134030.396
2022,Import,40,710813,327.33,kg,327.33,18132994.921
2022,Import,56,710813,97.335,kg,97.335,5708471.133
2022,Import,124,710813,22.692,kg,22.692,1361933.59
2022,Import,203,710813,62.078,kg,62.078,3715526.237
2022,Import,233,710813,21.417,kg,21.417,1152602.136
2022,Import,251,710813,502.425,kg,502.425,24510952.025
2022,Import,276,710813,2795.779,kg,2795.779,115782350.008
2022,Import,300,710813,4.001,kg,4.001,1648.271
2022,Import,344,710813,4.013,kg,4.013,243201.641
2022,Import,376,710813,0.014,kg,0.014,676.482
2022,Import,380,710813,9302.832,kg,9302.832,457045770.291
2022,Import,392,710813,27.665,kg,27.665,62746.344
2022,Import,484,710813,0.017,kg,0.017,783.295
2022,Import,528,710813,1.001,kg,1.001,56900.951
2022,Import,699,710813,0.006,kg,0.006,269.127
2022,Import,702,710813,203.135,kg,203.135,4767547.196
