typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","101.998","true","-1","N/A","0","false","101.998","true","0","false","0","1722628.682","1722628.682","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.985","true","-1","N/A","0","false","4.985","true","0","false","0","311156.64","311156.64","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","392","JPN","Japan","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.836","true","-1","N/A","0","false","0.836","true","0","false","0","52162.2","52162.2","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.013","true","-1","N/A","0","false","0.013","true","0","false","0","796.345","796.345","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","634","QAT","Qatar","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","0","4346.317","4346.317","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","643","RUS","Russian Federation","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.001","true","-1","N/A","0","false","0.001","true","0","false","0","38.378","38.378","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","699","IND","India","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.229","true","-1","N/A","0","false","0","true","0","false","0","4465.715","4465.715","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","702","SGP","Singapore","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.331","true","-1","N/A","0","false","0.331","true","0","false","0","20665.527","20665.527","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","0","5619.19","5619.19","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","X","Export","764","THA","Thailand","0","W00","World","H5","HS","true","7101","Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.029","true","-1","N/A","0","false","0.029","true","0","false","0","1789.911","1789.911","6","false","true",
