typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3451","false","8","kg","3451","false","3451","false","0","false","209988143.673","0","209988143.673","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","376","ISR","Israel","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","290","false","8","kg","290","false","290","false","0","false","548635.791","0","548635.791","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","360390.201","true","-1","N/A","0","false","360390.201","true","0","false","79223586.378","0","79223586.378","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","558.699","0","558.699","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","8","kg","60","false","60","false","0","false","413873.171","0","413873.171","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","422","LBN","Lebanon","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1131","false","8","kg","1131","false","1131","false","0","false","61442160.086","0","61442160.086","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","440","LTU","Lithuania","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144.099","true","-1","N/A","0","false","144.099","true","0","false","2561449.388","0","2561449.388","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","442","LUX","Luxembourg","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","181","false","8","kg","181","false","181","false","0","false","51302.194","0","51302.194","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","458","MYS","Malaysia","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","471.273","true","-1","N/A","0","false","471.273","true","0","false","10901293.014","0","10901293.014","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","480","MUS","Mauritius","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","142106.737","0","142106.737","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","490","S19","Other Asia, nes","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","47629.07","0","47629.07","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","499","MNE","Montenegro","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43","false","8","kg","43","false","43","false","0","false","1846869.401","0","1846869.401","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","528","NLD","Netherlands","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","637.095","true","-1","N/A","0","false","637.095","true","0","false","19998.004","0","19998.004","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","579","NOR","Norway","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10352","false","8","kg","10352","false","10352","false","0","false","6270668.625","0","6270668.625","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","620","PRT","Portugal","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.11","true","-1","N/A","0","false","4.11","true","0","false","253129.991","0","253129.991","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","690","SYC","Seychelles","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","91997.642","0","91997.642","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","699","IND","India","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","216","false","8","kg","216","false","216","false","0","false","11893140.059","0","11893140.059","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","221","false","8","kg","221","false","221","false","0","false","6414831.032","0","6414831.032","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","704","VNM","Viet Nam","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1248","false","8","kg","1248","false","1248","false","0","false","64696785.115","0","64696785.115","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1932","false","8","kg","1932","false","1932","false","0","false","262997.848","0","262997.848","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","309.327","true","-1","N/A","0","false","309.327","true","0","false","12357948.644","0","12357948.644","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","752","SWE","Sweden","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1828.362","true","-1","N/A","0","false","1828.362","true","0","false","3465331.232","0","3465331.232","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","826","GBR","United Kingdom","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","5126245.638","0","5126245.638","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","842","USA","USA","0","W00","World","H5","HS","true","7112","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds, of a kind uses principally for the recovery of precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1796.019","true","-1","N/A","0","false","1796.019","true","0","false","53996367.765","0","53996367.765","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","0","W00","World","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","7896484002.435","0","7896484002.435","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","4","AFG","Afghanistan","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.189","true","-1","N/A","0","false","0.189","true","0","false","2878.791","0","2878.791","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","8","ALB","Albania","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.372","true","-1","N/A","0","false","2.372","true","0","false","68904.404","0","68904.404","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","12","DZA","Algeria","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.039","true","-1","N/A","0","false","1.039","true","0","false","6178.739","0","6178.739","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","16","ASM","American Samoa","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.055","true","-1","N/A","0","false","2.055","true","0","false","6788.617","0","6788.617","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","20","AND","Andorra","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.004","true","-1","N/A","0","false","0.004","true","0","false","222.84","0","222.84","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","31","AZE","Azerbaijan","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","212236.227","0","212236.227","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","407371.367","0","407371.367","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","3665505.323","0","3665505.323","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","44","BHS","Bahamas","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","42561.331","0","42561.331","0","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","48","BHR","Bahrain","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","3098084.885","0","3098084.885","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","51","ARM","Armenia","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.003","true","-1","N/A","0","false","0.003","true","0","false","187.655","0","187.655","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","52","BRB","Barbados","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.002","true","-1","N/A","0","false","0.002","true","0","false","122.615","0","122.615","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","10326546.585","0","10326546.585","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","60","BMU","Bermuda","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.005","true","-1","N/A","0","false","0.005","true","0","false","295.343","0","295.343","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.007","true","-1","N/A","0","false","0.007","true","0","false","416.892","0","416.892","6","false","true",
"C","A","20200101","2020","52","2020","757","CHE","Switzerland","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H5","HS","true","7113","Jewellery articles and parts thereof, of precious metal or of metal clad with precious metal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.003","true","-1","N/A","0","false","0.003","true","0","false","210.045","0","210.045","6","false","true",
