reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
340,2020,Export,0,7108,114841719.31
344,2020,Import,0,7108,18877648195.136
360,2020,Export,0,7108,5541877857.39
384,2020,Export,0,7108,1465345844.63
404,2020,Import,0,7108,37373.045
414,2020,Import,0,7108,431350648.0
414,2020,Export,0,7108,49223019.0
418,2020,Import,0,7108,245974.99
422,2020,Export,0,7108,1090634247.0
450,2020,Export,0,7108,68444868.34
458,2020,Import,0,7108,2251153908.451
458,2020,Export,0,7108,159655958.968
466,2020,Import,0,7108,3869887.173
466,2020,Export,0,7108,3287657459.581
478,2020,Import,0,7108,1694.042
478,2020,Export,0,7108,738326833.729
480,2020,Import,0,7108,13942885.479
480,2020,Export,0,7108,16235.513
496,2020,Import,0,7108,10431780.48
496,2020,Export,0,7108,1787652240.2
512,2020,Export,0,7108,238400631.34
516,2020,Export,0,7108,398469045.377
533,2020,Export,0,7108,20156.424
558,2020,Import,0,7108,705970.36
558,2020,Export,0,7108,666642229.12
562,2020,Export,0,7108,72606624.018
566,2020,Import,0,7108,1095.763
579,2020,Export,0,7108,147477144.23
600,2020,Export,0,7108,3381651.0
604,2020,Export,0,7108,6436258566.52
608,2020,Export,0,7108,1285334198.0
646,2020,Export,0,7108,665536303.63
662,2020,Import,0,7108,114405.33
682,2020,Export,0,7108,1973308457.067
686,2020,Import,0,7108,407121.024
686,2020,Export,0,7108,734489311.261
710,2020,Import,0,7108,444340576.312
740,2020,Export,0,7108,1558336033.6
768,2020,Import,0,7108,37797.248
768,2020,Export,0,7108,1738.35
780,2020,Export,0,7108,34556.845
788,2020,Import,0,7108,30768428.64
834,2020,Import,0,7108,1201623.18
854,2020,Import,0,7108,766.975
854,2020,Export,0,7108,3562910877.047
858,2020,Import,0,7108,18115.75
858,2020,Export,0,7108,408331.0
20,2021,Export,0,7108,6606804.033
24,2021,Export,0,7108,3058992.774
32,2021,Import,0,7108,8209.74
32,2021,Export,0,7108,696342895.25
52,2021,Export,0,7108,739008.5
60,2021,Import,0,7108,6078.45
68,2021,Import,0,7108,464865.38
68,2021,Export,0,7108,2553836769.67
96,2021,Export,0,7108,9912587.36
108,2021,Import,0,7108,518.57
108,2021,Export,0,7108,40572696.293
116,2021,Import,0,7108,3729454488.34
116,2021,Export,0,7108,132039722.0
120,2021,Export,0,7108,783448.17
144,2021,Import,0,7108,1259749.153
144,2021,Export,0,7108,44654.187
152,2021,Export,0,7108,858601579.499
170,2021,Import,0,7108,35337.21
170,2021,Export,0,7108,3132366785.59
178,2021,Export,0,7108,102376.75
188,2021,Export,0,7108,2677546.16
204,2021,Import,0,7108,8113.905
218,2021,Export,0,7108,572623466.3
222,2021,Import,0,7108,421175.77
242,2021,Import,0,7108,7829.971
242,2021,Export,0,7108,58357886.622
262,2021,Import,0,7108,787.78
266,2021,Export,0,7108,15187002.516
288,2021,Export,0,7108,5123945223.256
328,2021,Export,0,7108,1712481569.298
340,2021,Import,0,7108,148094.37
340,2021,Export,0,7108,163069545.97
344,2021,Import,0,7108,29132255816.791
360,2021,Export,0,7108,1519588821.87
384,2021,Export,0,7108,1710834425.03
388,2021,Import,0,7108,93.89
388,2021,Export,0,7108,286.73
414,2021,Import,0,7108,1035634205.0
414,2021,Export,0,7108,15312085.0
418,2021,Import,0,7108,267288501.59
418,2021,Export,0,7108,961628254.78
446,2021,Export,0,7108,4330810.042
458,2021,Import,0,7108,4209653183.012
458,2021,Export,0,7108,166733121.504
466,2021,Export,0,7108,3368386220.35
478,2021,Import,0,7108,138666643.0
480,2021,Import,0,7108,22446434.421
480,2021,Export,0,7108,62238.216
496,2021,Import,0,7108,9953.05
496,2021,Export,0,7108,1004519993.83
512,2021,Export,0,7108,28259924.533
516,2021,Export,0,7108,440147872.765
533,2021,Import,0,7108,41486.033
558,2021,Export,0,7108,867704738.9
562,2021,Export,0,7108,78733379.642
591,2021,Export,0,7108,12044785.0
600,2021,Export,0,7108,6693082.0
604,2021,Import,0,7108,89692.07
604,2021,Export,0,7108,7719126071.88
634,2021,Import,0,7108,450273305.343
646,2021,Import,0,7108,368262257.79
646,2021,Export,0,7108,363142984.3
670,2021,Import,0,7108,23.215
682,2021,Export,0,7108,1113200938.57
686,2021,Export,0,7108,973392397.869
710,2021,Import,0,7108,473982961.978
780,2021,Export,0,7108,88046.064
854,2021,Import,0,7108,4141.981
854,2021,Export,0,7108,3916733285.368
858,2021,Import,0,7108,1155.06
858,2021,Export,0,7108,128480.0
20,2022,Import,0,7108,16428981.249
20,2022,Export,0,7108,4988183.466
32,2022,Import,0,7108,79631.95
32,2022,Export,0,7108,960206836.86
44,2022,Export,0,7108,8514.0
52,2022,Export,0,7108,636401.5
60,2022,Import,0,7108,1096.66
68,2022,Export,0,7108,3003218538.81
70,2022,Export,0,7108,646068.91
96,2022,Export,0,7108,3787591.87
108,2022,Export,0,7108,51898519.523
116,2022,Import,0,7108,4481167731.03
116,2022,Export,0,7108,231702144.13
120,2022,Export,0,7108,99108.386
144,2022,Import,0,7108,1702749.785
152,2022,Export,0,7108,838381963.204
170,2022,Import,0,7108,12727.77
170,2022,Export,0,7108,2976116302.42
174,2022,Import,0,7108,228561.195
178,2022,Export,0,7108,27487.771
188,2022,Export,0,7108,9554899.74
204,2022,Import,0,7108,2307403.192
204,2022,Export,0,7108,4513909.509
222,2022,Import,0,7108,756585.31
242,2022,Export,0,7108,46041651.306
266,2022,Export,0,7108,70161902.998
268,2022,Import,0,7108,11806.383
268,2022,Export,0,7108,81476704.963
276,2022,Export,0,7108,7071026892.805
328,2022,Export,0,7108,1655477903.032
344,2022,Import,0,7108,38013802272.55
344,2022,Export,0,7108,30126268460.652
384,2022,Export,0,7108,1917185404.605
417,2022,Export,0,7108,13064926.0
418,2022,Import,0,7108,278922554.19
422,2022,Import,0,7108,1035426575.0
422,2022,Export,0,7108,195910563.0
446,2022,Export,0,7108,15499235.422
458,2022,Import,0,7108,3869374541.824
458,2022,Export,0,7108,313386487.837
466,2022,Import,0,7108,189561159.589
466,2022,Export,0,7108,3051023890.147
478,2022,Export,0,7108,1169248635.294
480,2022,Import,0,7108,30146029.359
480,2022,Export,0,7108,318619.169
