trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Import,344,7103,0.0,N/A,0.0,40205533.777
2020,Import,360,7103,0.0,N/A,79.057,80443.026
2020,Import,380,7103,0.0,N/A,0.0,5267736.101
2020,Import,392,7103,0.0,N/A,120.682,183382.208
2020,Import,404,7103,0.0,N/A,13.762,3804.269
2020,Import,440,7103,0.0,N/A,12.992,1861.618
2020,Import,450,7103,0.0,N/A,1342.618,1034014.941
2020,Import,458,7103,0.0,N/A,10.732,6655.339
2020,Import,484,7103,0.0,N/A,57.022,2580.25
2020,Import,490,7103,0.0,N/A,71.505,59014.157
2020,Import,504,7103,0.0,N/A,109.145,5308.705
2020,Import,516,7103,0.0,N/A,156.739,137238.381
2020,Import,528,7103,0.0,N/A,0.0,173341.623
2020,Import,554,7103,0.0,N/A,1.236,822.055
2020,Import,586,7103,0.0,N/A,2875.077,100325.879
2020,Import,604,7103,0.0,N/A,1067.013,26200.2
2020,Import,616,7103,0.0,N/A,8.017,18941.381
2020,Import,620,7103,0.0,N/A,14.543,1699.553
2020,Import,643,7103,0.0,N/A,553.506,27470.067
2020,Import,699,7103,0.0,N/A,1141.335,12951773.996
2020,Import,702,7103,0.0,N/A,0.0,4231507.69
2020,Import,710,7103,0.0,N/A,5431.274,103823.077
2020,Import,724,7103,0.0,N/A,624.356,392539.194
2020,Import,764,7103,0.0,N/A,516.405,35095676.991
2020,Import,784,7103,0.0,N/A,158.645,31281921.377
2020,Import,792,7103,0.0,N/A,17922.434,18188.63
2020,Import,826,7103,0.0,N/A,0.0,18773486.58
2020,Import,834,7103,0.0,N/A,1190.355,1070403.93
2020,Import,842,7103,0.0,N/A,0.0,118398200.447
2020,Export,144,7103,0.0,N/A,20.482,2541868.393
2020,Export,251,7103,0.0,N/A,427.538,138349761.28
2020,Export,276,7103,0.0,N/A,3405.142,9568248.968
2020,Export,344,7103,0.0,N/A,355.708,87824414.639
2020,Export,380,7103,0.0,N/A,855.159,7740060.324
2020,Export,764,7103,0.0,N/A,183.376,32400557.661
2020,Export,784,7103,0.0,N/A,32.959,50722037.474
2020,Export,842,7103,0.0,N/A,294.863,145212099.038
2020,Export,376,7116,29.467,kg,29.467,16810.663
2020,Export,372,7116,0.263,kg,0.263,498.915
2020,Export,368,7116,10.016,kg,10.016,6688.446
2020,Export,364,7116,0.709,kg,0.709,1343.233
2020,Export,360,7116,0.551,kg,0.551,1042.604
2020,Export,348,7116,2.418,kg,2.418,4578.718
2020,Export,344,7116,4445.754,kg,4445.754,9466885.009
2020,Export,320,7116,0.178,kg,0.178,337.94
2020,Export,300,7116,9.484,kg,9.484,6495.489
2020,Export,288,7116,0.315,kg,0.315,596.992
2020,Export,276,7116,1513.907,kg,1513.907,2573980.181
2020,Export,268,7116,0.027,kg,0.027,51.171
2020,Export,251,7116,1041.559,kg,1041.559,1457113.168
2020,Export,233,7116,0.033,kg,0.033,62.897
2020,Export,222,7116,0.082,kg,0.082,155.644
2020,Export,218,7116,0.199,kg,0.199,377.384
2020,Export,208,7116,4.401,kg,4.401,8264.079
2020,Export,203,7116,167.25,kg,167.25,253659.887
2020,Export,196,7116,0.05,kg,0.05,93.813
2020,Export,191,7116,0.061,kg,0.061,116.2
2020,Export,188,7116,12.0,kg,12.0,71138.026
2020,Export,170,7116,1.418,kg,1.418,2685.399
2020,Export,156,7116,78.0,kg,78.0,703863.491
2020,Export,152,7116,0.873,kg,0.873,1653.455
2020,Export,144,7116,0.159,kg,0.159,301.694
2020,Export,136,7116,0.127,kg,0.127,239.863
2020,Export,124,7116,12.561,kg,12.561,31284.528
2020,Export,112,7116,0.291,kg,0.291,550.086
2020,Export,100,7116,0.643,kg,0.643,1218.504
2020,Export,76,7116,5.208,kg,5.208,9862.099
2020,Export,70,7116,0.009,kg,0.009,17.057
2020,Export,68,7116,0.032,kg,0.032,59.699
2020,Export,56,7116,37.408,kg,37.408,58430.619
2020,Export,51,7116,0.02,kg,0.02,38.378
2020,Export,50,7116,0.064,kg,0.064,120.465
2020,Export,48,7116,3.318,kg,3.318,6283.344
2020,Export,40,7116,1931.974,kg,1931.974,460305.566
2020,Export,36,7116,129.486,kg,129.486,70594.337
2020,Export,32,7116,0.432,kg,0.432,817.666
2020,Export,31,7116,0.29,kg,0.29,549.02
2020,Export,842,7115,200.815,kg,200.815,1838446.25
2020,Export,826,7115,67.758,kg,67.758,426394.272
2020,Export,818,7115,0.589,kg,0.589,2257.91
2020,Export,804,7115,103.096,kg,103.096,4405193.23
2020,Export,792,7115,0.068,kg,0.068,262.25
2020,Export,784,7115,51.017,kg,51.017,333459.632
2020,Export,764,7115,25.092,kg,25.092,317298.198
2020,Export,752,7115,6.045,kg,6.045,25306.076
2020,Export,724,7115,22.935,kg,22.935,87855.942
2020,Export,710,7115,0.607,kg,0.607,2325.072
2020,Export,705,7115,1.523,kg,1.523,4490.235
2020,Export,704,7115,0.1,kg,0.1,382.715
2020,Export,702,7115,1618.0,kg,1618.0,1054567.671
2020,Export,699,7115,5.21,kg,5.21,13128.5
2020,Export,688,7115,0.549,kg,0.549,2103.332
2020,Export,682,7115,6.15,kg,6.15,23559.874
2020,Export,643,7115,27.529,kg,27.529,105453.356
2020,Export,634,7115,5.558,kg,5.558,21290.237
2020,Export,620,7115,3.583,kg,3.583,2793.071
2020,Export,616,7115,1.329,kg,1.329,5091.491
2020,Export,608,7115,0.186,kg,0.186,711.06
2020,Export,604,7115,1.355,kg,1.355,5191.701
2020,Export,579,7115,2.691,kg,2.691,10307.711
2020,Export,566,7115,0.048,kg,0.048,184.428
2020,Export,554,7115,4.248,kg,4.248,12629.585
2020,Export,540,7115,0.012,kg,0.012,46.907
2020,Export,534,7115,4.736,kg,4.736,18140.037
2020,Export,528,7115,36.989,kg,36.989,800460.04
2020,Export,512,7115,1.624,kg,1.624,6220.446
2020,Export,504,7115,0.799,kg,0.799,3059.585
2020,Export,490,7115,50.08,kg,50.08,174762.027
2020,Export,484,7115,8.556,kg,8.556,33996.578
2020,Export,480,7115,13.06,kg,13.06,9622.236
2020,Export,470,7115,0.083,kg,0.083,319.817
2020,Export,458,7115,1.041,kg,1.041,3987.056
2020,Export,442,7115,0.61,kg,0.61,2335.732
2020,Export,422,7115,1.0,kg,1.0,1608.681
2020,Export,414,7115,11.495,kg,11.495,44033.511
2020,Export,410,7115,48.872,kg,48.872,273623.948
2020,Export,400,7115,3.987,kg,3.987,15271.276
2020,Export,392,7115,35.489,kg,35.489,1393529.226
2020,Export,380,7115,58.6,kg,58.6,1981818.21
2020,Export,376,7115,2.472,kg,2.472,9470.856
2020,Export,364,7115,0.221,kg,0.221,845.384
2020,Export,360,7115,1.0,kg,1.0,2422.083
2020,Export,348,7115,851.623,kg,851.623,107668.623
2020,Export,344,7115,18.03,kg,18.03,719369.299
2020,Export,320,7115,0.064,kg,0.064,245.193
2020,Export,300,7115,0.094,kg,0.094,361.394
2020,Export,276,7115,2690.796,kg,2690.796,4922285.554
2020,Export,251,7115,161.611,kg,161.611,7619504.13
2020,Export,246,7115,24.262,kg,24.262,92937.839
2020,Export,233,7115,2.0,kg,2.0,2489.245
2020,Export,218,7115,0.039,kg,0.039,149.248
2020,Export,208,7115,3.866,kg,3.866,14809.673
2020,Export,203,7115,12.459,kg,12.459,4220.522
2020,Export,196,7115,0.541,kg,0.541,2073.482
2020,Export,170,7115,0.903,kg,0.903,3458.291
2020,Export,156,7115,988.0,kg,988.0,939870.529
